symbol,strategy,entry_time,direction,trend,btc_regime,regime,entry,stop_loss,tp1,tp2,rr,actual_rr,rsi,rsi_dir,ema_spread_pct,atr_pct,pb_candles,entry_body_pct,ema21_dist_pct,entry_delay_1h,size_multiplier,risk_usd,position_size,outcome,exit_price,exit_reason,candles_held,pnl
DOGE/USDT,S5,2025-06-17 12:00,SHORT,range,n/a,TRANSITIONAL,0.17137,0.178221,0.157668,0.143966,2.0,2.47,39.2,,4.2,2.45,,,,0,0.5,15.0,2189.4614,tp1+trail,0.154453,trail_stop,105,33.52
PEPE/USDT,S5,2025-06-17 12:00,SHORT,range,n/a,RANGING,1e-05,1.1e-05,9e-06,8e-06,2.57,1.0,34.7,,7.02,3.56,,,,0,1.5,75.0,75000000.0,tp1+trail,9e-06,trail_stop,106,75.0
WLD/USDT,S5,2025-06-18 00:00,SHORT,range,n/a,RANGING,0.91,0.96231,0.80538,0.70076,2.0,-1.0,30.3,,8.79,3.58,,,,0,1.5,75.0,1433.7603,sl,0.96231,stop_loss,20,-75.0
TRUMP/USDT,S5,2025-06-18 08:00,SHORT,range,n/a,TRANSITIONAL,9.51,9.824074,8.881852,8.253704,2.0,2.81,33.9,,5.83,2.19,,,,0,0.5,25.0,79.5991,tp1+trail,8.628148,trail_stop,101,60.1
COS/USDT,S5,2025-06-18 20:00,SHORT,range,n/a,RANGING,0.002884,0.002998,0.002656,0.002428,2.0,-1.0,35.0,,9.81,2.68,,,,0,0.5,25.0,219298.2456,sl,0.002998,stop_loss,16,-25.0
RENDER/USDT,S5,2025-06-21 16:00,SHORT,range,n/a,TRENDING,3.005,3.14701,2.72098,2.43696,2.0,1.89,32.1,,6.67,2.93,,,,0,1.5,75.0,528.1318,tp1+trail,2.736029,trail_stop,30,146.03
ENA/USDT,S5,2025-06-21 20:00,SHORT,range,n/a,TRENDING,0.2539,0.279217,0.203266,0.152632,2.0,-1.0,27.0,,7.02,3.56,,,,0,1.5,75.0,2962.4363,sl,0.279217,stop_loss,58,-75.0
BCH/USDT,S5,2025-06-25 20:00,LONG,range,n/a,TRANSITIONAL,486.5,468.617723,522.264554,558.029108,2.0,0.93,63.0,,7.9,2.62,,,,0,0.5,25.0,1.398,tp1+trail,503.117721,trail_stop,122,36.62
PENGU/USDT,S5,2025-06-28 08:00,LONG,range,n/a,TRENDING,0.011736,0.009785,0.015638,0.01954,2.0,2.01,80.7,,10.59,4.27,,,,0,1.5,75.0,38441.8247,tp1+trail,0.015661,trail_stop,93,150.43
COS/USDT,S5,2025-06-30 00:00,LONG,range,n/a,TRANSITIONAL,0.003153,0.002954,0.003551,0.003949,2.0,-1.0,64.7,,10.56,2.82,,,,0,1.5,75.0,376884.4221,sl,0.002954,stop_loss,14,-75.0
FET/USDT,S5,2025-06-30 00:00,LONG,range,n/a,TRANSITIONAL,0.712,0.663149,0.809702,0.907404,2.0,-1.0,66.4,,5.85,2.77,,,,0,0.5,25.0,511.7603,sl,0.663149,stop_loss,14,-25.0
CHZ/USDT,S5,2025-07-01 20:00,SHORT,range,n/a,TRANSITIONAL,0.03391,0.034736,0.032258,0.030606,2.0,-1.0,37.2,,5.53,1.81,,,,0,0.25,12.5,15133.1719,sl,0.034736,stop_loss,17,-12.5
CHZ/USDT,S5,2025-07-09 20:00,LONG,range,n/a,RANGING,0.03754,0.03589,0.04084,0.04414,2.0,1.73,71.2,,4.82,1.6,,,,0,0.25,12.5,7575.7576,tp1+trail,0.040402,trail_stop,34,23.34
GMT/USDT,S5,2025-07-09 20:00,LONG,range,n/a,TRANSITIONAL,0.0467,0.04389,0.05232,0.05794,2.0,1.46,70.6,,4.62,2.18,,,,0,0.5,25.0,8896.7972,tp1+trail,0.05079,trail_stop,49,43.19
LUNC/USDT,S5,2025-07-09 20:00,LONG,range,n/a,TRANSITIONAL,5.9e-05,5.7e-05,6.4e-05,6.8e-05,2.04,2.5,75.3,,4.1,1.34,,,,0,0.25,12.5,6250000.0,tp1+trail,6.4e-05,trail_stop,34,32.5
TRUMP/USDT,S5,2025-07-09 20:00,LONG,range,n/a,TRENDING,8.99,8.629889,9.710222,10.430444,2.0,2.89,68.5,,3.5,1.56,,,,0,0.25,12.5,34.7115,tp1+trail,10.029779,trail_stop,30,30.55
ONDO/USDT,S5,2025-07-10 04:00,LONG,range,n/a,TRANSITIONAL,0.8416,0.815967,0.892866,0.944132,2.0,1.46,73.0,,7.09,1.79,,,,0,0.25,12.5,487.6526,tp1+trail,0.878901,trail_stop,20,21.59
RENDER/USDT,S5,2025-07-10 08:00,LONG,range,n/a,TRANSITIONAL,3.433,3.263408,3.772184,4.111368,2.0,1.86,73.3,,6.33,2.02,,,,0,0.5,25.0,147.4126,tp1+trail,3.748225,trail_stop,22,48.23
DASH/USDT,S5,2025-07-10 20:00,LONG,range,n/a,TRANSITIONAL,21.13,20.376522,22.636956,24.143912,2.0,1.5,70.6,,4.01,1.45,,,,0,0.25,12.5,16.5897,tp1+trail,22.259564,trail_stop,61,21.87
DOGE/USDT,S5,2025-07-10 20:00,LONG,range,n/a,TRANSITIONAL,0.18575,0.173297,0.210656,0.235562,2.0,1.78,77.0,,5.55,2.06,,,,0,0.5,25.0,2007.5484,tp1+trail,0.207922,trail_stop,24,47.26
ENA/USDT,S5,2025-07-10 20:00,LONG,range,n/a,TRANSITIONAL,0.3018,0.272894,0.359612,0.417424,2.0,1.79,77.3,,10.0,2.85,,,,0,1.5,75.0,2594.617,tp1+trail,0.353582,trail_stop,9,142.18
FET/USDT,S5,2025-07-10 20:00,LONG,range,n/a,RANGING,0.713,0.681492,0.776016,0.839032,2.0,1.19,64.0,,5.03,2.39,,,,0,0.5,25.0,793.4493,tp1+trail,0.750491,trail_stop,11,39.87
