symbol,strategy,entry_time,direction,trend,btc_regime,regime,entry,stop_loss,tp1,tp2,rr,actual_rr,rsi,rsi_dir,ema_spread_pct,atr_pct,pb_candles,entry_body_pct,ema21_dist_pct,entry_delay_1h,size_multiplier,risk_usd,position_size,outcome,exit_price,exit_reason,candles_held,pnl
UNI/USDT,S5,2026-01-30 04:00,SHORT,range,n/a,TRENDING,4.251,4.562768,3.627464,3.003928,2.0,1.43,24.5,,7.51,2.76,,,,0,0.5,25.0,80.1878,tp1+trail,3.803766,trail_stop,39,42.93
FIL/USDT,S5,2026-01-30 04:00,SHORT,range,n/a,TRENDING,1.155,1.250842,0.963316,0.771632,2.0,1.47,26.9,,4.33,2.92,,,,0,1.5,75.0,782.5379,tp1+trail,1.01384,trail_stop,39,130.23
ALT/USDT,S5,2026-01-30 04:00,SHORT,range,n/a,TRANSITIONAL,0.01005,0.011032,0.008086,0.006122,2.0,2.86,25.2,,8.67,3.42,,,,0,1.5,75.0,76374.7454,tp1+trail,0.007244,trail_stop,164,182.15
FIDA/USDT,S5,2026-01-30 04:00,SHORT,range,n/a,TRENDING,0.0236,0.025056,0.020688,0.017776,2.0,-1.0,30.9,,6.4,3.02,,,,0,1.5,75.0,51510.989,sl,0.025056,stop_loss,12,-75.0
LTC/USDT,S5,2026-01-30 04:00,SHORT,range,n/a,TRENDING,63.99,67.470739,57.028522,50.067044,2.0,1.94,30.4,,6.13,2.35,,,,0,0.5,25.0,7.1824,tp1+trail,57.252218,trail_stop,38,49.2
TON/USDT,S5,2026-01-30 04:00,SHORT,range,n/a,TRANSITIONAL,1.421,1.496182,1.270636,1.120272,2.0,1.43,27.2,,5.19,2.0,,,,0,0.5,25.0,332.5264,tp1+trail,1.313182,trail_stop,39,42.93
DOT/USDT,S5,2026-01-30 16:00,SHORT,range,n/a,TRANSITIONAL,1.686,1.787459,1.483082,1.280164,2.0,2.16,27.0,,7.95,2.66,,,,0,0.5,25.0,246.405,tp1+trail,1.466379,trail_stop,26,52.06
GMT/USDT,S5,2026-01-30 16:00,SHORT,range,n/a,TRANSITIONAL,0.01472,0.015197,0.013766,0.012812,2.0,4.06,35.5,,10.94,2.81,,,,0,1.5,75.0,157232.7044,tp1+trail,0.012784,trail_stop,25,227.2
RENDER/USDT,S5,2026-01-30 16:00,SHORT,range,n/a,TRANSITIONAL,1.665,1.765924,1.463152,1.261304,2.0,1.76,30.1,,15.72,4.2,,,,0,1.5,75.0,743.1334,tp1+trail,1.487772,trail_stop,26,140.85
COS/USDT,S3,2026-02-03 09:00,SHORT,bear,bear,TRENDING,0.00113,0.001153,0.001011,0.000945,2.57,4.65,44.6,-1.4,4.2,2.56,1.0,50.0,-0.078,0,0.5,25.0,1086956.5217,tp1+trail,0.001023,trail_stop,55,123.07
TON/USDT,S3,2026-02-04 13:00,SHORT,bear,bear,TRENDING,1.377,1.405768,1.208586,1.059172,2.0,-1.0,41.7,-10.8,3.02,2.63,6.0,78.6,-0.832,0,0.5,25.0,869.0211,sl,1.405768,stop_loss,5,-25.0
UTK/USDT,S3,2026-02-04 13:00,SHORT,bear,bear,TRENDING,0.01028,0.010748,0.008876,0.007482,2.0,2.4,40.6,-9.9,3.97,3.67,3.0,71.4,-2.22,0,1.5,75.0,160256.4103,tp1+trail,0.009158,trail_stop,36,202.44
BTC/USDT,S5,2026-02-04 16:00,SHORT,range,n/a,TRENDING,74136.36,77858.280136,66692.519728,59248.679456,2.0,2.69,29.5,,6.44,2.39,,,,0,0.5,25.0,0.0067,tp1+trail,64118.520273,trail_stop,28,58.5
AVAX/USDT,S5,2026-02-05 00:00,SHORT,range,n/a,TRENDING,9.72,10.122294,8.915412,8.110824,2.0,2.8,36.2,,5.36,3.34,,,,0,1.5,75.0,186.4308,tp1+trail,8.594588,trail_stop,20,179.91
BNB/USDT,S5,2026-02-05 00:00,SHORT,range,n/a,TRENDING,697.27,747.092492,597.625016,497.980032,2.0,1.37,23.6,,6.16,2.98,,,,0,1.5,75.0,1.5053,tp1+trail,628.802492,trail_stop,25,126.53
APT/USDT,S5,2026-02-05 00:00,SHORT,range,n/a,TRENDING,1.22,1.272154,1.115692,1.011384,2.0,3.0,36.0,,5.66,3.8,,,,0,1.5,75.0,1438.0489,tp1+trail,1.063308,trail_stop,20,187.67
XRP/USDT,S5,2026-02-05 04:00,SHORT,range,n/a,TRENDING,1.4432,1.582807,1.163986,0.884772,2.0,1.56,23.7,,5.95,3.58,,,,0,1.5,75.0,537.2223,tp1+trail,1.225321,trail_stop,18,133.52
LINK/USDT,S5,2026-02-05 04:00,SHORT,range,n/a,TRENDING,9.1,9.648278,8.003444,6.906888,2.0,2.91,33.7,,7.56,3.92,,,,0,1.5,75.0,136.7919,tp1+trail,7.506557,trail_stop,20,183.99
DOT/USDT,S5,2026-02-05 04:00,SHORT,range,n/a,TRENDING,1.442,1.516673,1.292654,1.143308,2.0,1.78,32.9,,6.68,3.56,,,,0,1.5,75.0,1004.3791,tp1+trail,1.309017,trail_stop,16,141.78
UNI/USDT,S5,2026-02-05 04:00,SHORT,range,n/a,TRENDING,3.749,3.957304,3.332392,2.915784,2.0,3.67,37.4,,5.85,3.7,,,,0,1.5,75.0,360.0507,tp1+trail,2.983607,trail_stop,20,212.79
ME/USDT,S5,2026-02-05 04:00,SHORT,range,n/a,TRENDING,0.153,0.161732,0.135536,0.118072,2.0,3.65,34.4,,6.15,3.7,,,,0,1.5,75.0,8589.0976,tp1+trail,0.121164,trail_stop,20,211.72
ONDO/USDT,S5,2026-02-05 04:00,SHORT,range,n/a,TRENDING,0.2642,0.28351,0.22558,0.18696,2.0,2.62,36.2,,8.1,4.47,,,,0,1.5,75.0,3883.9979,tp1+trail,0.21362,trail_stop,20,173.23
SUI/USDT,S5,2026-02-05 04:00,SHORT,range,n/a,TRENDING,1.0637,1.131226,0.928648,0.793596,2.0,3.43,33.5,,7.42,4.14,,,,0,1.5,75.0,1110.6833,tp1+trail,0.832151,trail_stop,20,203.59
NEAR/USDT,S5,2026-02-05 08:00,SHORT,range,n/a,TRENDING,1.118,1.206983,0.940034,0.762068,2.0,1.29,32.5,,6.27,3.75,,,,0,1.5,75.0,842.8576,tp1+trail,1.002983,trail_stop,21,123.47
ENA/USDT,S5,2026-02-05 08:00,SHORT,range,n/a,TRENDING,0.13,0.138993,0.112014,0.094028,2.0,1.2,34.1,,6.59,4.14,,,,0,1.5,75.0,8339.8199,tp1+trail,0.119181,trail_stop,26,120.12
ETH/USDT,S5,2026-02-05 16:00,SHORT,range,n/a,TRENDING,1961.12,2243.02161,1397.31678,833.51356,2.0,-0.16,22.4,,10.35,4.93,,,,0,1.5,75.0,0.2661,timeout,2006.27,timeout,240,-12.01
SOL/USDT,S5,2026-02-05 16:00,SHORT,range,n/a,TRENDING,84.61,96.741785,60.34643,36.08286,2.0,-0.24,18.3,,12.62,4.8,,,,0,1.5,75.0,6.1821,timeout,87.57,timeout,240,-18.3
AAVE/USDT,S5,2026-02-05 16:00,SHORT,range,n/a,TRENDING,112.56,127.986716,81.706568,50.853136,2.0,-1.0,24.7,,5.86,4.35,,,,0,1.5,75.0,4.8617,sl,127.986716,stop_loss,209,-75.0
FIDA/USDT,S5,2026-02-19 00:00,SHORT,range,n/a,TRENDING,0.0188,0.020354,0.015692,0.012584,2.0,-1.0,21.8,,6.44,2.71,,,,0,0.5,25.0,16087.5161,sl,0.020354,stop_loss,45,-25.0
DOT/USDT,S5,2026-02-19 08:00,SHORT,range,n/a,TRENDING,1.309,1.336231,1.254538,1.200076,2.0,-1.0,38.8,,4.19,2.17,,,,0,0.5,25.0,918.0713,sl,1.336231,stop_loss,31,-25.0
CHZ/USDT,S5,2026-02-19 08:00,SHORT,range,n/a,TRENDING,0.03943,0.040193,0.037904,0.036378,2.0,0.94,38.2,,4.99,2.2,,,,0,0.5,25.0,32765.3997,tp1+trail,0.038709,trail_stop,16,36.81
ME/USDT,S5,2026-02-19 08:00,SHORT,range,n/a,TRENDING,0.127,0.133098,0.114804,0.102608,2.0,1.05,29.9,,7.14,3.78,,,,0,1.5,75.0,12299.1145,tp1+trail,0.120593,trail_stop,137,114.4
BTC/USDT,S5,2026-02-19 12:00,SHORT,range,n/a,TRENDING,66496.02,67841.098446,63805.863108,61115.706216,2.0,-1.0,41.0,,3.98,1.57,,,,0,0.25,12.5,0.0093,sl,67841.098446,stop_loss,17,-12.5
XRP/USDT,S5,2026-02-19 12:00,SHORT,range,n/a,TRENDING,1.4093,1.454856,1.318188,1.227076,2.0,-1.0,39.9,,5.18,2.38,,,,0,0.5,25.0,548.7751,sl,1.454856,stop_loss,50,-25.0
LINK/USDT,S5,2026-02-19 12:00,SHORT,range,n/a,TRENDING,8.57,8.85124,8.00752,7.44504,2.0,-1.0,41.5,,4.12,2.13,,,,0,0.5,25.0,88.892,sl,8.85124,stop_loss,28,-25.0
ALT/USDT,S5,2026-02-23 04:00,SHORT,range,n/a,TRENDING,0.00723,0.007927,0.005836,0.004442,2.0,-1.0,26.3,,8.74,3.23,,,,0,1.5,75.0,107604.0172,sl,0.007927,stop_loss,61,-75.0
DOGE/USDT,S5,2026-02-23 04:00,SHORT,range,n/a,TRENDING,0.09275,0.096909,0.084432,0.076114,2.0,-1.0,24.6,,5.26,2.02,,,,0,0.5,25.0,6011.0604,sl,0.096909,stop_loss,6,-25.0
BTC/USDT,S5,2026-02-24 04:00,SHORT,range,n/a,TRENDING,63595.51,67133.392954,56519.744092,49443.978184,2.0,-1.0,30.5,,4.36,1.68,,,,0,0.25,12.5,0.0035,sl,67133.392954,stop_loss,35,-12.5
ZEC/USDT,S5,2026-02-27 20:00,SHORT,range,n/a,TRENDING,217.41,232.478186,187.273628,157.137256,2.0,-1.0,30.2,,11.05,3.94,,,,0,1.5,75.0,4.9774,sl,232.478186,stop_loss,30,-75.0
INJ/USDT,S5,2026-02-28 08:00,SHORT,range,n/a,TRENDING,2.932,3.162285,2.47143,2.01086,2.0,-1.0,28.1,,7.72,3.5,,,,0,1.5,75.0,325.6834,sl,3.162285,stop_loss,2,-75.0
ATOM/USDT,S3,2026-03-03 08:00,SHORT,bear,bear,TRENDING,1.802,1.856601,1.704192,1.573384,2.0,-1.0,44.0,-3.4,4.86,2.42,1.0,88.9,-1.79,3,0.5,15.0,274.7202,sl,1.856601,stop_loss,24,-15.0
