symbol,strategy,entry_time,direction,trend,btc_regime,regime,entry,stop_loss,tp1,tp2,rr,actual_rr,rsi,rsi_dir,ema_spread_pct,atr_pct,pb_candles,entry_body_pct,ema21_dist_pct,entry_delay_1h,size_multiplier,risk_usd,position_size,outcome,exit_price,exit_reason,candles_held,pnl
COS/USDT,S5,2021-03-09 08:00,LONG,range,n/a,TRENDING,0.0209,0.017945,0.02681,0.03272,2.0,1.53,75.6,,11.98,4.45,,,,0,1.5,45.0,15228.4264,tp1+trail,0.025414,trail_stop,3,79.37
BTC/USDT,S5,2021-03-09 12:00,LONG,range,n/a,TRANSITIONAL,54233.32,51118.234894,60463.490212,66693.660424,2.0,1.8,71.4,,9.93,2.48,,,,0,0.5,15.0,0.0048,tp1+trail,59830.474682,trail_stop,119,28.39
DASH/USDT,S5,2021-03-09 12:00,LONG,range,n/a,TRANSITIONAL,236.32,210.909023,287.141954,337.963908,2.0,-1.0,72.1,,6.42,3.22,,,,0,1.5,75.0,2.9515,sl,210.909023,stop_loss,157,-75.0
LINK/USDT,S5,2021-03-10 00:00,LONG,range,n/a,TRANSITIONAL,31.4914,29.8528,34.7686,38.0458,2.0,-1.0,64.6,,17.27,3.25,,,,0,1.5,45.0,27.4625,sl,29.8528,stop_loss,2,-45.0
ZEC/USDT,S5,2021-03-10 00:00,LONG,range,n/a,TRANSITIONAL,137.69,130.192995,152.68401,167.67802,2.0,1.75,67.8,,9.98,2.92,,,,0,1.5,45.0,6.0024,tp1+trail,150.818984,trail_stop,39,84.4
FET/USDT,S3,2021-03-10 06:00,LONG,bull,bull,TRENDING,0.44002,0.403256,0.569812,0.701194,2.0,3.03,58.5,-3.2,12.37,6.79,1.0,76.4,2.021,1,0.75,22.5,612.0118,tp1+trail,0.551478,trail_stop,70,73.82
DOT/USDT,S5,2021-03-10 16:00,LONG,range,n/a,TRANSITIONAL,39.0483,37.00413,43.13664,47.22498,2.0,-1.0,66.9,,16.05,3.72,,,,0,1.5,75.0,36.6897,sl,37.00413,stop_loss,5,-75.0
BNB/USDT,S5,2021-03-10 16:00,LONG,range,n/a,TRENDING,284.9998,257.355432,340.288536,395.577272,2.0,-1.0,66.0,,30.57,4.54,,,,0,1.5,45.0,1.6278,sl,257.355432,stop_loss,45,-45.0
FIL/USDT,S5,2021-03-17 00:00,LONG,range,n/a,TRENDING,63.6062,56.626357,77.565886,91.525572,2.0,2.05,76.7,,18.94,4.73,,,,0,1.5,45.0,6.4471,tp1+trail,77.940571,trail_stop,19,91.21
FET/USDT,S3,2021-03-17 06:00,LONG,bull,bull,TRENDING,0.62162,0.578086,0.803176,0.982352,2.0,-1.0,53.8,3.0,12.65,9.3,1.0,80.1,1.18,1,0.75,37.5,861.3957,sl,0.578086,stop_loss,42,-37.5
HBAR/USDT,S3,2021-03-17 17:00,LONG,bull,bull,TRENDING,0.34231,0.304175,0.49352,0.63423,2.0,-1.0,54.3,4.9,15.43,10.46,6.0,97.2,4.358,0,0.75,22.5,590.0092,sl,0.304175,stop_loss,132,-22.5
ADA/USDT,S5,2021-03-17 20:00,LONG,range,n/a,TRANSITIONAL,1.26348,1.182029,1.426382,1.589284,2.0,0.98,67.7,,28.06,4.38,,,,0,1.5,45.0,552.4794,tp1+trail,1.343399,trail_stop,2,67.08
ADA/USDT,S5,2021-03-18 00:00,LONG,range,n/a,TRANSITIONAL,1.377,1.178058,1.774884,2.172768,2.0,-1.0,75.6,,28.06,4.59,,,,0,1.5,75.0,376.9943,sl,1.178058,stop_loss,83,-75.0
DOT/USDT,S5,2021-03-20 04:00,LONG,range,n/a,RANGING,39.7235,37.037078,45.096344,50.469188,2.0,-1.0,70.2,,9.79,3.33,,,,0,1.5,45.0,16.7509,sl,37.037078,stop_loss,20,-45.0
TRX/USDT,S5,2021-03-20 04:00,LONG,range,n/a,TRENDING,0.06375,0.055855,0.07954,0.09533,2.0,-1.0,82.7,,9.09,3.12,,,,0,1.5,45.0,5699.81,sl,0.055855,stop_loss,114,-45.0
SOL/USDT,S5,2021-03-27 16:00,LONG,range,n/a,TRENDING,16.0,15.077683,17.844634,19.689268,2.0,2.81,66.3,,24.64,4.18,,,,0,1.5,45.0,48.7902,tp1+trail,18.594765,trail_stop,22,108.3
SOL/USDT,S5,2021-03-29 12:00,LONG,range,n/a,TRENDING,18.3798,17.228278,20.682844,22.985888,2.0,1.08,68.5,,44.94,4.52,,,,0,1.5,45.0,39.0787,tp1+trail,19.623134,trail_stop,27,69.29
DOT/USDT,S5,2021-03-30 00:00,LONG,range,n/a,TRANSITIONAL,34.3403,33.283414,36.454072,38.567844,2.0,-1.0,60.3,,8.28,3.15,,,,0,1.5,75.0,70.9632,sl,33.283414,stop_loss,32,-75.0
DASH/USDT,S5,2021-03-30 00:00,LONG,range,n/a,TRANSITIONAL,214.98,205.997177,232.945646,250.911292,2.0,-1.0,64.1,,9.1,2.84,,,,0,1.5,45.0,5.0096,sl,205.997177,stop_loss,32,-45.0
COS/USDT,S3,2021-04-01 05:00,LONG,bull,bull,TRENDING,0.04086,0.039329,0.0505,0.056034,2.49,-1.0,52.7,3.8,3.74,5.41,3.0,70.8,0.286,0,0.75,22.5,14696.2769,sl,0.039329,stop_loss,38,-22.5
COS/USDT,S5,2021-04-05 20:00,LONG,range,n/a,TRENDING,0.04564,0.041741,0.053438,0.061236,2.0,-1.0,69.2,,16.95,4.9,,,,0,1.5,45.0,11541.4209,sl,0.041741,stop_loss,5,-45.0
BCH/USDT,S5,2021-04-06 00:00,LONG,range,n/a,RANGING,647.21,599.448736,742.732528,838.255056,2.0,-1.0,74.6,,13.78,3.26,,,,0,1.5,45.0,0.9422,sl,599.448736,stop_loss,35,-45.0
BNB/USDT,S5,2021-04-06 12:00,LONG,range,n/a,TRENDING,396.9264,356.346207,478.086786,559.247172,2.0,-1.0,75.5,,12.8,3.67,,,,0,1.5,45.0,1.1089,sl,356.346207,stop_loss,23,-45.0
BNB/USDT,S5,2021-04-10 12:00,LONG,range,n/a,TRENDING,484.5193,440.349676,572.858548,661.197796,2.0,3.05,80.3,,22.51,3.98,,,,0,1.5,45.0,1.0188,tp1+trail,619.266652,trail_stop,45,113.64
DASH/USDT,S5,2021-04-12 04:00,LONG,range,n/a,TRANSITIONAL,294.24,273.336787,336.046426,377.852852,2.0,-1.0,65.2,,13.86,3.51,,,,0,1.5,45.0,2.1528,sl,273.336787,stop_loss,12,-45.0
SOL/USDT,S3,2021-04-12 20:00,LONG,bull,bull,TRENDING,27.8847,26.80129,31.245798,34.954796,2.0,-1.0,52.9,-5.1,7.05,4.61,1.0,67.6,0.199,3,1.5,45.0,41.5355,sl,26.80129,stop_loss,11,-45.0
ADA/USDT,S5,2021-04-12 20:00,LONG,range,n/a,TRENDING,1.30529,1.243581,1.428708,1.552126,2.0,3.2,61.7,,9.12,3.05,,,,0,1.5,45.0,729.2291,tp1+trail,1.502881,trail_stop,32,117.04
